ispitanik	re? 1	re?2	modalitet	zadatak	response	malo dummy	mnogo dummy
a7	snaga	sila	nula	cued	0	0	0
a7	plakat	bilbord	malo	cued	0	1	0
a7	odžak	krov	malo	cued	0	1	0
a7	igla	ubod	malo	cued	0	1	0
a7	sijalica	bandera	malo	cued	0	1	0
a7	sveska	olovka	malo	cued	1	1	0
a7	leptir	cvr?ak 	malo	cued	0	1	0
a7	šiške	trepavice	malo	cued	1	1	0
a7	fotografija	slika	malo	cued	1	1	0
a7	nož	kutla?a	malo	cued	0	1	0
a7	ekran	monitor	malo	cued	1	1	0
a7	cigla	kamen	malo	cued	0	1	0
a7	?arapa	patika	mnogo	cued	0	0	1
a7	narandža	breskva	mnogo	cued	0	0	1
a7	vosak	sve?a	mnogo	cued	1	0	1
a7	deterdžent	sapun	mnogo	cued	0	0	1
a7	autobus	automobil	mnogo	cued	1	0	1
a7	pepeljara	cigareta	mnogo	cued	1	0	1
a7	cimet	bosiljak	mnogo	cued	1	0	1
a7	kiša	žaba	mnogo	cued	0	0	1
a7	tastatura	kompjuter	mnogo	cued	1	0	1
a7	reka	voda	mnogo	cued	0	0	1
a7	cvet	p?ela	mnogo	cued	0	0	1
a8	teorija	nauka	nula	cued	1	0	0
a8	znanje	memorija	nula	cued	1	0	0
a8	nasilje	agresija	nula	cued	1	0	0
a8	poštenje	moral	nula	cued	1	0	0
a8	ljubomora	zavist	nula	cued	1	0	0
a8	šansa	prilika	nula	cued	1	0	0
a8	optimizam	nada	nula	cued	1	0	0
a8	san	mašta	nula	cued	0	0	0
a8	verovanje	religija	nula	cued	0	0	0
a8	dogovor	politika	nula	cued	1	0	0
a8	snaga	sila	nula	cued	0	0	0
a8	plakat	bilbord	malo	cued	1	1	0
a8	odžak	krov	malo	cued	1	1	0
a8	igla	ubod	malo	cued	1	1	0
a8	sijalica	bandera	malo	cued	0	1	0
a8	sveska	olovka	malo	cued	0	1	0
a8	leptir	cvr?ak 	malo	cued	0	1	0
a8	šiške	trepavice	malo	cued	1	1	0
a8	fotografija	slika	malo	cued	1	1	0
a8	nož	kutla?a	malo	cued	1	1	0
a8	ekran	monitor	malo	cued	0	1	0
a8	cigla	kamen	malo	cued	1	1	0
a8	?arapa	patika	mnogo	cued	0	0	1
a8	narandža	breskva	mnogo	cued	1	0	1
